,ref,main_type,fac_scen,res_scen,total_time,num_trips,total_distance,annual_dist,ferry_costs,num_coll_days,annual_ferry_cost,total_cost,res_biweekly_kg,biogas_energy,res_biweekly,res_annual,cost_per_tonne,type,la,veh_type
20,distillery_d_10,distillery,industrial_group_ref,high,,,,,,,,,208788.66666666666,4700.303823014853,208.78866666666664,5428.505333333333,,liquid,Argyll and Bute,liquid
21,distillery_d_17,distillery,industrial_group_ref,high,,,,,,,,,28324.0,637.6381155252708,28.324,736.4240000000001,,liquid,Argyll and Bute,liquid
22,distillery_d_0,distillery,industrial_group_ref,high,,,,,,,,,79792.66666666667,1796.3176625940487,79.79266666666668,2074.609333333334,,liquid,Argyll and Bute,liquid
23,distillery_d_7,distillery,industrial_group_ref,high,,,,,,,,,109347.0,2461.647490564988,109.347,2843.022,,liquid,Argyll and Bute,liquid
24,distillery_d_5,fish_farm,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,solid,Argyll and Bute,animal
25,distillery_d_18,fish_farm,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,solid,Argyll and Bute,animal
26,distillery_d_6,fish_farm,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,solid,Argyll and Bute,animal
27,cafe_140518,fish_farm,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,solid,Argyll and Bute,animal
28,distillery_d_4,fish_farm,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,solid,Argyll and Bute,animal
29,distillery_d_20,fish_farm,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,solid,Argyll and Bute,animal
30,distillery_d_1,fish_farm,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,solid,Argyll and Bute,animal
31,distillery_d_13,fish_farm,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,solid,Argyll and Bute,animal
32,distillery_d_10,fish_farm,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,solid,Argyll and Bute,animal
33,distillery_d_17,fish_farm,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,solid,Argyll and Bute,animal
34,distillery_d_0,fish_farm,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,solid,Argyll and Bute,animal
35,distillery_d_7,fish_farm,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,solid,Argyll and Bute,animal
36,distillery_d_5,food_processing,industrial_group_ref,high,,,,,,,,,1097.3333333333333,0.6933126673341,1.0973333333333333,28.530666666666665,,liquid,Argyll and Bute,liquid
37,distillery_d_18,food_processing,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
38,distillery_d_6,food_processing,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
39,cafe_140518,food_processing,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
40,distillery_d_4,food_processing,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
41,distillery_d_20,food_processing,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
42,distillery_d_1,food_processing,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
43,distillery_d_13,food_processing,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
44,distillery_d_10,food_processing,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
45,distillery_d_17,food_processing,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
46,distillery_d_0,food_processing,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
47,distillery_d_7,food_processing,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
48,distillery_d_5,food_waste,industrial_group_ref,high,19915.0,2.0,132.65875599999998,3449.1276559999997,0.0,1.0,0.0,4311.40957,1072.0,31.23366534577765,1.072,27.872,154.6860494402985,solid,Argyll and Bute,food
49,distillery_d_18,food_waste,industrial_group_ref,high,14262.0,1.0,138.457998,3599.907948,0.0,1.0,0.0,4499.884935,180.0,5.304039840000001,0.18,4.68,961.5138750000001,solid,Argyll and Bute,food
50,distillery_d_6,food_waste,industrial_group_ref,high,8502.0,1.0,56.92000500000002,1479.9201300000004,0.0,1.0,0.0,1849.9001625000005,203.33333333333334,5.991600560000002,0.20333333333333334,5.286666666666667,349.91806352459025,solid,Argyll and Bute,food
51,cafe_140518,food_waste,industrial_group_ref,high,6048.0,1.0,46.485502000000004,1208.6230520000001,0.0,1.0,0.0,1510.7788150000001,187.66666666666666,5.510497300000928,0.18766666666666665,4.879333333333333,309.62812166962703,solid,Argyll and Bute,food
52,distillery_d_4,food_waste,industrial_group_ref,high,19142.0,3.0,118.08636100000003,3070.2453860000005,0.0,1.0,0.0,3837.8067325000006,1917.3333333333333,55.440330711094795,1.9173333333333333,49.85066666666667,76.98606636821975,solid,Argyll and Bute,food
53,distillery_d_20,food_waste,industrial_group_ref,high,39376.0,4.0,312.88793400000003,8135.086284000001,0.0,2.0,0.0,10168.857855000002,1494.0,43.6728034600184,1.494,38.844,261.78709337349403,solid,Argyll and Bute,food
